Table 1
2019 Pontevedra ITU Duathlon World Championships,,,,,,,,,,,,,
Sprint age groups - Unofficial results by category,,,,,,,,,,,,,
,,,,,,,,,,,,,
16-19 Female AG,,,,,,,,,,,,,
Cat.R.,Bib,Name,Szül.év,Club,License,Country,Város,1st Run,1st Transition,Bike,2nd Transition,2nd Run,Finish Time
1,1508,Helena Dyce,,,,GBR,,20:15,0:47,36:24,1:24,11:17,1:10:05
2,1513,Ximena  Ortiz Peniche ,,,,MEX,,20:07,0:48,36:30,1:28,11:16,1:10:07
3,1519,Alexandra Evans,,,,AUS,,20:36,0:46,37:57,1:24,10:57,1:11:38
4,1506,Besaide Astobiza Sanchez,,,,ESP,,19:32,0:56,39:05,1:52,10:30,1:11:53
5,1516,Alexandra Drexler,,,,USA,,20:34,1:10,37:37,1:38,11:14,1:12:10
6,1507,Ciara Broomfield,,,,GBR,,20:48,1:03,37:00,1:45,11:42,1:12:16
7,1510,Lilly ODell,,,,GBR,,21:14,0:53,38:13,1:32,12:01,1:13:51
8,1521,Kennedy Finch,,,,CAN,,21:24,1:10,37:57,1:57,11:43,1:14:09
9,1518,Sade Smith,,,,USA,,22:48,0:52,39:20,1:33,12:19,1:16:50
10,1509,Caitlin Lefevre,,,,GBR,,23:15,1:06,40:45,1:41,11:51,1:18:36
11,1512,Elena Gomez Sanchez ,,,,MEX,,22:50,0:57,42:20,1:36,13:50,1:21:31
12,1511,Kathryn Schofield,,,,GBR,,25:24,1:08,44:00,1:57,13:38,1:26:06
13,1520,Tahlia Wenban Nielsen,,,,AUS,,25:22,1:17,47:23,1:49,14:13,1:30:01
14,1514,Sophia Alexander,,,,USA,,25:24,0:59,45:45,1:50,17:15,1:31:11
,,,,,,,,,,,,,
16-19 Male AG,,,,,,,,,,,,,
Cat.R.,Bib,Name,Szül.év,Club,License,Country,Város,1st Run,1st Transition,Bike,2nd Transition,2nd Run,Finish Time
1,1003,Reece Ashfield,,,,GBR,,16:20,0:40,31:30,1:18,9:15,59:01
2,1009,Michelle Orozco Luis ,,,,MEX,,16:54,0:56,32:21,1:27,9:22,1:00:59
3,1012,John Bazaar,,,,USA,,17:47,0:49,31:29,1:21,9:38,1:01:02
4,1010,Patrick Calver,,,,NZL,,17:43,0:46,31:33,1:20,9:49,1:01:09
5,1011,Finian Orr,,,,NZL,,17:15,0:48,31:59,1:31,9:48,1:01:19
6,1006,Jamie Pugh,,,,GBR,,17:08,0:43,32:16,1:28,9:49,1:01:23
7,1002,Arturo Ramos Rey,,,,ESP,,16:42,0:38,33:53,1:12,9:21,1:01:43
8,1015,Axel Mateo,,,,USA,,16:55,0:46,33:32,1:18,9:14,1:01:44
9,1004,Kai Boggon,,,,GBR,,17:20,0:45,31:57,1:33,10:24,1:01:57
10,1005,Adam Dart,,,,GBR,,17:41,0:49,32:44,1:31,9:22,1:02:05
11,1020,Noah Cornish,,,,CAN,,18:18,0:56,32:49,1:17,10:00,1:03:18
12,1019,Leonardo Cesar  Dos Santos Silva,,,,BRA,,18:11,0:52,33:04,1:30,10:15,1:03:50
13,1007,Clayton Thomas,,,,GBR,,18:28,0:52,33:44,1:43,10:14,1:04:59
14,1016,Alexander Orcutt,,,,USA,,19:40,0:52,35:39,1:23,11:17,1:08:49
15,1021,Nick Sandu,,,,CAN,,19:54,1:06,36:14,1:50,10:45,1:09:46
16,1014,Seth Drexler,,,,USA,,16:36,1:05,42:18,1:27,9:14,1:10:39
17,1013,Josh Brink,,,,USA,,20:53,1:24,36:24,1:49,10:59,1:11:27
18,1008,Alan Mena Reyes,,,,MEX,,17:26,0:50,43:46,1:21,9:32,1:12:54
19,1018,Matisse Wenban,,,,AUS,,23:50,1:10,48:53,1:42,13:55,1:29:28
,,,,,,,,,,,,,
20-24 Female AG,,,,,,,,,,,,,
Cat.R.,Bib,Name,Szül.év,Club,License,Country,Város,1st Run,1st Transition,Bike,2nd Transition,2nd Run,Finish Time
1,1529,Narda Cuen Chavez ,,,,MEX,,19:05,0:48,37:30,1:19,10:19,1:08:59
2,1525,Holly Dixon,,,,GBR,,18:37,0:46,37:54,1:14,10:35,1:09:04
3,1527,Rachael Vatter,,,,GBR,,19:52,0:55,36:46,1:24,10:15,1:09:10
4,1526,Isabelle Rayner,,,,GBR,,20:12,0:56,36:26,1:45,11:09,1:10:25
5,1524,Irene Lucas Marín,,,,ESP,,20:01,0:47,40:13,1:20,10:50,1:13:09
6,1528,Kirstie Williamson,,,,GBR,,25:05,1:21,46:44,1:43,14:33,1:29:23
,,,,,,,,,,,,,
20-24 Male AG,,,,,,,,,,,,,
Cat.R.,Bib,Name,Szül.év,Club,License,Country,Város,1st Run,1st Transition,Bike,2nd Transition,2nd Run,Finish Time
1,1024,Bienvenido Ballester Martinez,,,,ESP,,16:06,0:41,31:43,1:18,8:17,58:02
2,1038,Alejandro Said Bonilla Narvaez,,,,MEX,,16:17,0:38,31:33,1:16,8:27,58:10
3,1040,Dino Ivan Rodriguez Sanchez,,,,MEX,,16:06,0:46,31:35,1:18,9:05,58:48
4,1033,James Mellor,,,,GBR,,16:52,0:46,30:51,1:18,9:20,59:05
5,1042,Jason Hunt,,,,NZL,,17:08,0:45,31:25,1:29,9:32,1:00:17
6,1031,Charlie Holt,,,,GBR,,16:53,0:46,31:39,1:28,9:40,1:00:23
7,1036,Sean Tarrant,,,,GBR,,17:03,0:51,32:22,1:18,9:20,1:00:52
8,1032,James Mccall,,,,GBR,,17:29,0:48,31:54,1:26,9:17,1:00:52
9,1041,Daniel Vazquez Ayala,,,,MEX,,17:33,0:46,31:47,1:27,9:21,1:00:52
10,1029,Austin Hall,,,,GBR,,16:50,0:45,32:31,1:19,9:29,1:00:53
11,1028,James Adamson,,,,GBR,,17:43,0:47,31:40,1:23,9:28,1:01:00
12,1030,Brad Hammonds,,,,GBR,,16:52,0:47,32:31,1:21,9:33,1:01:02
13,1026,Pablo Pedrosa Paz,,,,ESP,,17:43,0:47,31:31,1:28,10:07,1:01:35
14,1037,Sebastien Vicary,,,,GBR,,16:39,0:46,33:39,1:17,9:19,1:01:39
15,1045,Dyllon Gunsolus,,,,USA,,17:34,0:54,32:41,1:26,9:28,1:02:01
16,1039,Andres Johan Capiz Pineda ,,,,MEX,,17:01,0:52,33:20,1:54,9:49,1:02:54
17,1043,Dixon Atkins,,,,USA,,17:40,0:52,32:38,1:51,10:05,1:03:04
18,1027,Jayson Wersy,,,,FRA,,18:25,1:02,32:41,1:36,10:40,1:04:21
19,1044,Dylan Caban,,,,USA,,18:25,0:54,33:44,1:39,10:56,1:05:38
20,1046,Zachary Hasseler,,,,USA,,19:53,0:56,41:53,1:50,12:09,1:16:39
21,1025,Francisco Javier Manzanares Garcia,,,,ESP,,21:37,1:15,38:11,1:52,14:47,1:17:40
22,1047,Noah Jones,,,,CAN,,31:08,1:19,46:13,2:47,19:50,1:41:15
,1035,Joshua Southern,,,,GBR,,19:00,0:47, - , - , - , - 
,,,,,,,,,,,,,
25-29 Female AG,,,,,,,,,,,,,
Cat.R.,Bib,Name,Szül.év,Club,License,Country,Város,1st Run,1st Transition,Bike,2nd Transition,2nd Run,Finish Time
1,1532,Sarah Grover,,,,GBR,,18:36,0:59,37:58,1:22,10:09,1:09:02
2,1542,Sabrina St-Gelais,,,,CAN,,18:14,1:13,39:09,1:41,9:33,1:09:48
3,1533,Charlotte Halkyard,,,,GBR,,20:52,1:10,36:50,1:29,11:21,1:11:40
4,1534,Sarah Ward,,,,GBR,,22:50,0:58,39:02,1:35,12:05,1:16:29
5,1537,Ana Elena Gonzalez Tovar ,,,,MEX,,20:36,1:02,41:17,1:39,12:28,1:17:00
6,1538,Jessica Yaneli Valtierra Alvarado,,,,MEX,,21:00,1:19,42:58,1:57,12:04,1:19:16
7,1540,Lauren Anderson,,,,CAN,,23:27,1:19,42:13,1:51,12:53,1:21:41
8,1531,Tania Suarez Lage,,,,ESP,,22:49,0:54,47:05,1:41,12:34,1:25:00
9,1541,Lauren Matsuba,,,,CAN,,30:49,1:29,54:17,2:24,18:47,1:47:43
10,1539,Michaela Daw,,,,USA,,32:17,1:33,57:34,2:57,19:20,1:53:39
,,,,,,,,,,,,,
25-29 Male AG,,,,,,,,,,,,,
Cat.R.,Bib,Name,Szül.év,Club,License,Country,Város,1st Run,1st Transition,Bike,2nd Transition,2nd Run,Finish Time
1,1055,Jonatan Perez Lopez,,,,ESP,,16:03,0:43,31:39,1:13,8:28,58:03
2,1056,Xabier Tijero Santillan,,,,ESP,,16:05,0:40,31:35,1:20,8:25,58:03
3,1053,Javier Marco Estruc,,,,ESP,,16:04,0:47,31:38,1:18,8:38,58:22
4,1060,James Hodgson,,,,GBR,,16:06,0:42,31:42,1:16,8:39,58:24
5,1074,Bruno Henrique Pereira,,,,BRA,,16:26,0:45,31:15,1:18,8:46,58:27
6,1058,Ben Cockburn,,,,GBR,,16:14,0:45,31:29,1:10,8:56,58:33
7,1054,Daniel Palazon Gonzalvez,,,,ESP,,16:59,0:39,30:48,1:10,9:17,58:51
8,1065,Ian Russell,,,,GBR,,16:53,0:42,30:54,1:08,9:29,59:04
9,1052,Sergi Jurado Foix,,,,ESP,,16:51,0:45,30:46,1:20,9:37,59:17
10,1070,João Rodrigues,,,,POR,,17:42,0:43,31:43,1:16,9:23,1:00:45
11,1051,Adrián Carrillo Martínez,,,,ESP,,17:32,0:49,31:42,1:20,9:28,1:00:49
12,1069,Alberto Ugarte Ortega,,,,MEX,,16:10,0:49,33:28,1:21,9:31,1:01:17
13,1071,Faris Alzaabi,,,,UAE,,17:27,0:44,31:53,1:29,9:51,1:01:23
14,1073,Paulo Adriano Campos Dos Santos,,,,BRA,,17:47,0:49,31:25,1:24,10:00,1:01:23
15,1072,Sean Price,,,,USA,,16:51,0:41,32:31,1:55,9:28,1:01:24
